month,company,company_code,mine,ministry_owned_company,region,region_code,mark,extraction_fact,extraction_plan,ash_percent_fact,ash_percent_plan
06.2019,ДП Селидiввугiлля,33426253,"ВП ""Шахта ""Україна""",1,Донецька область,1400000000,ДГ,7537.0,9000.0,43.12232983945867,43.20000076293945
06.2019,ДП Торецьквугiлля,33839013,"ВП ""Шахта ""Центральна""",1,Донецька область,1400000000,Ж,14601.0,14000.0,37.83802479282241,36.5
06.2019,ДП Торецьквугiлля,33839013,"ВП ""Шахта ""Торецька""",1,Донецька область,1400000000,Ж,7190.0,6000.0,32.0,34.79999923706055
06.2019,ДП Первомайськвугiлля,32320594,ш.Тошкiвська,1,Луганська область,4400000000,ДГ,2400.0,3500.0,19.145833333333332,24.0
06.2019,ДП Первомайськвугiлля,32320594,ш.Гiрська,1,Луганська область,4400000000,Г(Г2),3300.0,13000.0,38.35151515151515,44.5
06.2019,ДП Первомайськвугiлля,32320594,ш.Золоте,1,Луганська область,4400000000,Г(Г1),230.0,1500.0,20.695652173913043,41.0
06.2019,ДП Первомайськвугiлля,32320594,ш.Карбонiт,1,Луганська область,4400000000,Г(Г2),2900.0,6000.0,17.19448275862069,25.100000381469727
06.2019,"ПАТ ""Лисичанськвугiлля""",32359108,ш.iм.Г.Г.Капустiна,1,Луганська область,4400000000,ДГ,1770.0,2000.0,28.207909604519774,28.299999237060547
06.2019,"ПАТ ""Лисичанськвугiлля""",32359108,ш.Привільняньска,1,Луганська область,4400000000,ДГ,815.0,1400.0,49.88834355828221,46.20000076293945
06.2019,"ПАТ ""Лисичанськвугiлля""",32359108,ш.Новодружеська,1,Луганська область,4400000000,ДГ,1000.0,2000.0,30.675,32.79999923706055
06.2019,"ПАТ ""Лисичанськвугiлля""",32359108,ш.iм.Д.Ф.Мельникова,1,Луганська область,4400000000,ДГ,7500.0,19000.0,51.354,46.29999923706055
06.2019,ДП Львiввугiлля,32323256,ш.Великомостiвська,1,Львiвська область,4600000000,Г(Г2),5778.0,16100.0,55.49913464866736,44.900001525878906
06.2019,ДП Львiввугiлля,32323256,ш.Межирiчанська,1,Львiвська область,4600000000,Г(Г2),8407.0,8400.0,46.288925895087424,51.29999923706055
06.2019,ДП Львiввугiлля,32323256,ш.Вiдродження,1,Львiвська область,4600000000,Г(Г2),14277.0,13900.0,51.17230510611473,51.29999923706055
06.2019,ДП Львiввугiлля,32323256,ш.Лiсова,1,Львiвська область,4600000000,Г(Г2),10500.0,9200.0,32.15,35.0
06.2019,ДП Львiввугiлля,32323256,ш.Червоноградська,1,Львiвська область,4600000000,ГЖ,11328.0,16800.0,50.5,50.5
06.2019,ДП Львiввугiлля,32323256,ш.Степова,1,Львiвська область,4600000000,Г(Г2),5400.0,18000.0,39.907407407407405,36.20000076293945
06.2019,ПАТ ш.Надiя,00178175,ПАТ ш.Надiя,1,Львiвська область,4600000000,ГЖ,8100.0,8000.0,33.07530749285662,32.0
06.2019,ДП Волиньвугiлля,32365965,ш.Бужанська,1,Волинська область,0700000000,ДГ,920.0,13300.0,54.369565217391305,47.29999923706055
06.2019,ДП Волиньвугiлля,32365965,ш.N 9 Нововолинська,1,Волинська область,0700000000,ДГ,2265.0,4200.0,28.8,28.799999237060547
05.2019,ДП ш/у Пiвденнодонбаське1,34032208,ДП ш/у Пiвденнодонбаське1,1,Донецька область,1400000000,ДГ,37107.0,35000.0,43.38394616640745,48.0
05.2019,"ДП ""Шахта ім.М.С.Сургая """,40695853,"ДП ""Шахта ім.М.С.Сургая """,1,Донецька область,1400000000,Г(Г2),66890.0,54000.0,29.071041847704628,33.400001525878906
05.2019,ДП Мирноградвугілля,32087941,"ВП ""Шахта ""Родинська""",1,Донецька область,1400000000,ГЖП,0.0,0.0,0.0,0.0
05.2019,ДП Мирноградвугілля,32087941,"ВП ""Шахта ""Центральна""",1,Донецька область,1400000000,ГЖП,1530.0,2000.0,34.36601307189542,34.5
05.2019,ДП Мирноградвугілля,32087941,"ВП ""Шахта ""Капітальна""",1,Донецька область,1400000000,ГЖП,50000.0,40000.0,48.1539,47.599998474121094
05.2019,ДП Мирноградвугілля,32087941,"ВП ""Шахта ""5/6"" ",1,Донецька область,1400000000,Г(Г2),2070.0,3000.0,30.63768115942029,35.099998474121094
05.2019,ДП Селидiввугiлля,33426253,"ВП ""Шахта ""Курахiвська""",1,Донецька область,1400000000,ДГ,2380.0,11000.0,26.64201680672269,46.599998474121094
05.2019,ДП Селидiввугiлля,33426253,"ВП ""Шахта 1-3 ""Новогродiвська""",1,Донецька область,1400000000,Г(Г2),2460.0,1000.0,24.17642276422764,37.400001525878906
05.2019,ДП Селидiввугiлля,33426253,"ВП ""Шахта ""Котляревська""",1,Донецька область,1400000000,Г(Г1),1160.0,22000.0,33.96896551724138,44.20000076293945
05.2019,ДП Селидiввугiлля,33426253,"ВП ""Шахта ""Україна""",1,Донецька область,1400000000,ДГ,9105.0,9000.0,42.9049972542559,43.20000076293945
05.2019,ДП Торецьквугiлля,33839013,"ВП ""Шахта ""Центральна""",1,Донецька область,1400000000,Ж,14800.0,14000.0,37.21371621621621,36.5
05.2019,ДП Торецьквугiлля,33839013,"ВП ""Шахта ""Торецька""",1,Донецька область,1400000000,Ж,7092.0,6000.0,32.0,34.79999923706055
05.2019,ДП Первомайськвугiлля,32320594,ш.Тошкiвська,1,Луганська область,4400000000,ДГ,3000.0,3500.0,18.383333333333333,24.0
05.2019,ДП Первомайськвугiлля,32320594,ш.Гiрська,1,Луганська область,4400000000,Г(Г2),8600.0,14000.0,43.37906976744186,44.5
05.2019,ДП Первомайськвугiлля,32320594,ш.Золоте,1,Луганська область,4400000000,Г(Г1),100.0,1500.0,29.26,41.0
05.2019,ДП Первомайськвугiлля,32320594,ш.Карбонiт,1,Луганська область,4400000000,Г(Г2),4930.0,6000.0,17.531440162271807,25.100000381469727
05.2019,"ПАТ ""Лисичанськвугiлля""",32359108,ш.iм.Г.Г.Капустiна,1,Луганська область,4400000000,ДГ,2340.0,2000.0,28.23076923076923,28.299999237060547
05.2019,"ПАТ ""Лисичанськвугiлля""",32359108,ш.Привільняньска,1,Луганська область,4400000000,ДГ,945.0,1300.0,49.24444444444445,46.20000076293945
05.2019,"ПАТ ""Лисичанськвугiлля""",32359108,ш.Новодружеська,1,Луганська область,4400000000,ДГ,665.0,2000.0,28.37293233082707,32.79999923706055
05.2019,"ПАТ ""Лисичанськвугiлля""",32359108,ш.iм.Д.Ф.Мельникова,1,Луганська область,4400000000,ДГ,17050.0,15000.0,52.024046920821114,46.29999923706055
05.2019,ДП Львiввугiлля,32323256,ш.Великомостiвська,1,Львiвська область,4600000000,Г(Г2),7200.0,17400.0,55.06875,44.900001525878906
05.2019,ДП Львiввугiлля,32323256,ш.Межирiчанська,1,Львiвська область,4600000000,Г(Г2),11669.0,6900.0,47.52960836404148,51.29999923706055
05.2019,ДП Львiввугiлля,32323256,ш.Вiдродження,1,Львiвська область,4600000000,Г(Г2),20200.0,15000.0,53.198019801980195,51.29999923706055
